item,refs,qty,description,specs,mpn,package,supplier,url,notes
1,U1,1,ESP32 DevKit V1 development board,"ESP32-WROOM-32, Arduino-compatible, 30-pin dev board, Wi-Fi/BLE, 5 V input via VIN/5V, 3.3 V logic",ESP32 DevKit V1 (generic CP2102 type),Through-hole dev module,Adafruit / generic distributors,https://www.adafruit.com/product/3269,Any widely used ESP32 DevKit with exposed GPIO and VIN/5V pin is acceptable; confirm actual pin labels before wiring.
2,U2,1,Dual DC motor driver breakout,"TB6612FNG, 4.5-13.5 V motor supply, 2.7-5.5 V logic, about 1 A continuous/channel",Pololu 713 TB6612FNG carrier,Breakout module,Pololu,https://www.pololu.com/product/713,Chosen over L298N because it is more efficient and better suited to battery-powered toy cars.
3,"M1,M2",2,TT style brushed DC gear motor,"3-6 V rated, about 160-200 RPM at 6 V, brushed motor for small robot car",Adafruit 3777 or equivalent,Wired motor,Adafruit,https://www.adafruit.com/product/3777,"If your selected motors have much higher stall current, upgrade the driver and power wiring."
4,U3,1,Buck converter module,"LM2596 adjustable step-down module, input >5 V, output set to 5.0 V, up to about 2 A practical without extra cooling",LM2596 module,Module,SunFounder / generic distributors,https://www.sunfounder.com/products/step-down-converter,Adjust output to 5.0 V with a multimeter before connecting the ESP32.
5,BT1,1,2x18650 battery holder with switch,"Series holder, nominal 7.4 V output, wire leads, integrated on/off switch",2-cell 18650 holder with switch,Battery holder,Seeed Studio,https://www.seeedstudio.com/18650-Battery-Holder-Case-2-Slot-with-Switch-p-4160.html,"If your holder already includes a switch, the separate SW1 item can be omitted."
6,"B1,B2",2,Protected 18650 Li-ion cells,"3.6-3.7 V nominal, around 3200-3400 mAh, protected preferred for beginner use",Panasonic NCR18650B protected,Cell,BatteryTekUSA,https://www.batterytekusa.com/product/panasonic-18650b-3400mah-protected-li-ion-battery/,Use a proper Li-ion charger. Do not charge cells while wired into an improvised circuit unless a correct charging/protection design is added.
7,SW1,1,Master power switch,"SPST on/off, low-voltage DC switching, panel-mount or inline",C&K DA series SPST rocker or equivalent,Panel switch,C&K,http://www.ckswitches.com/products/switches/product-details/Rocker/DA/,Optional if battery holder already includes adequate switch and current handling.
8,C1,1,Bulk electrolytic capacitor,"470 uF, 16 V minimum, radial, low-ESR preferred",Panasonic EEUFR1C471,Radial through-hole,RS,https://uk.rs-online.com/web/p/aluminium-capacitors/7083620,Place across VM and GND near the motor driver.
9,"C2,C3,C4",3,Ceramic decoupling capacitor,"0.1 uF, 50 V, radial or leaded ceramic",Jameco 15270 or equivalent,Radial through-hole,Jameco,https://www.jameco.com/z/DC-1-50-7-Capacitor-Ceramic-Disc-0-1-micro-F-50V-plusmn-20-_15270.html,Use near ESP32 supply and motor driver logic supply.
10,"J1,J2",2,2-pin screw terminal block,"5.08 mm pitch, >=10 A preferred for battery/motor wiring",Weidmuller 1760490000 or equivalent,Through-hole terminal block,RS,https://au.rs-online.com/web/p/pcb-terminal-blocks/4087871,Optional when modules already provide terminals or prewired leads.
11,HW1,1,4-wheel robot chassis kit,"Chassis with 4 wheels and mounting hardware, compatible with TT motors",Generic 4-wheel robot chassis,Mechanical kit,Generic robotics supplier,https://www.dfrobot.com/product-100.html,Mechanical item included for completeness; exact chassis can vary.
